x=0.6344634 , y=4.0701427 , z=9.093178
x=0.62967503 , y=4.2544966 , z=8.662222
x=0.60094464 , y=4.4077253 , z=8.3390045
x=0.5386954 , y=4.5537715 , z=7.989451
x=0.46447513 , y=4.584896 , z=7.800309
x=0.4261679 , y=4.5681367 , z=7.5920134
x=0.45010993 , y=4.4795513 , z=7.467515
x=0.49320555 , y=4.381389 , z=7.4124484
x=0.49320555 , y=4.2640734 , z=7.524976
x=0.50038815 , y=4.1491513 , z=7.680599
x=0.5315128 , y=3.9576154 , z=7.9726915
x=0.51714754 , y=3.833117 , z=8.26239
x=0.45729253 , y=3.7181952 , z=8.66701
x=0.3854665 , y=3.6128504 , z=9.275137
x=0.4141969 , y=3.5434184 , z=9.809045
x=0.4405331 , y=3.442862 , z=10.309433
x=0.47405192 , y=3.41892 , z=10.685322
x=0.50517654 , y=3.4141316 , z=10.912771
x=0.60812724 , y=3.5122938 , z=11.032481
x=0.6751649 , y=3.632004 , z=10.836157
x=0.89303726 , y=3.8594532 , z=10.21127
x=1.0893618 , y=4.0557775 , z=9.509769
x=1.3215994 , y=4.209007 , z=8.734048
x=1.6136919 , y=4.343082 , z=7.7093296
x=1.8052281 , y=4.3646297 , z=7.0006456
x=1.9536686 , y=4.321534 , z=6.3566055
x=2.0207062 , y=4.2185836 , z=6.0477533
x=2.1164744 , y=4.1132383 , z=5.899313
x=2.1499932 , y=3.9121256 , z=6.0501475
x=2.1499932 , y=3.7014358 , z=6.435614
x=2.0638018 , y=3.4141316 , z=7.1251445
x=2.0231004 , y=3.2106245 , z=7.7907324
x=2.006341 , y=3.0310593 , z=8.439561
x=2.0446482 , y=2.837129 , z=9.090784
x=2.1260512 , y=2.7222073 , z=9.445126
x=2.2050598 , y=2.566584 , z=9.792285
x=2.2697031 , y=2.4875755 , z=9.9790325
x=2.3582888 , y=2.4372973 , z=10.110714
x=2.5905263 , y=2.3989902 , z=10.053253
x=2.7940333 , y=2.3750482 , z=9.82341
x=3.0334535 , y=2.3343468 , z=9.423578
x=3.1866825 , y=2.291251 , z=9.076419
x=3.3375173 , y=2.231396 , z=8.678981
x=3.5290532 , y=2.1404164 , z=8.123527
x=3.6942532 , y=2.1092918 , z=7.824251
x=3.8426938 , y=2.0733786 , z=7.589619
x=3.8642416 , y=2.030283 , z=7.501034
x=3.8067808 , y=1.9416976 , z=7.417237
x=3.7110126 , y=1.7764976 , z=7.405266
x=3.6248214 , y=1.6448165 , z=7.4866686
x=3.490746 , y=1.4293385 , z=7.723695
x=3.383007 , y=1.2641385 , z=8.003817
x=3.3087866 , y=1.103727 , z=8.336611
x=3.1316159 , y=0.92895025 , z=8.784326
x=2.9975405 , y=0.78290397 , z=9.248801
x=2.846706 , y=0.58657944 , z=9.854534
x=2.693477 , y=0.49559975 , z=10.2974615
x=2.6120741 , y=0.38307226 , z=10.682928
x=2.5785553 , y=0.29927522 , z=11.046846
x=2.552219 , y=0.260968 , z=11.310209
x=2.528277 , y=0.25617957 , z=11.60709
x=2.5258827 , y=0.2633622 , z=11.743559
x=2.540248 , y=0.24660277 , z=11.884817
x=2.5498247 , y=0.272939 , z=11.927913
x=2.4971523 , y=0.25378537 , z=11.903971
x=2.456451 , y=0.2801216 , z=11.748347
x=2.4516625 , y=0.33997664 , z=11.523293
x=2.4396915 , y=0.4357447 , z=11.310209
x=2.4181437 , y=0.60333884 , z=10.986992
x=2.4349031 , y=0.78290397 , z=10.658986
x=2.480393 , y=1.0319009 , z=10.110714
x=2.4899697 , y=1.2186487 , z=9.576807
x=2.4588451 , y=1.436521 , z=9.006987
x=2.4540567 , y=1.6304513 , z=8.274361
x=2.4013844 , y=1.7621324 , z=7.632715
x=2.3247697 , y=1.910573 , z=6.8809357
x=2.2026656 , y=2.018312 , z=6.3206925
x=2.1021092 , y=2.135628 , z=5.793968
x=1.9536686 , y=2.2266076 , z=5.2959743
x=1.8339585 , y=2.2409728 , z=5.068525
x=1.7118542 , y=2.1643584 , z=4.984728
x=1.6280571 , y=2.0446482 , z=5.1116204
x=1.5059528 , y=1.8626889 , z=5.415684
x=1.4030021 , y=1.5993267 , z=6.0884547
x=1.3024458 , y=1.4030021 , z=6.8162923
x=1.13964 , y=1.1204864 , z=7.872135
x=1.0175357 , y=0.9504981 , z=8.688558
x=0.90740246 , y=0.7685388 , z=9.481039
x=0.79248077 , y=0.6751649 , z=10.374076
x=0.7230489 , y=0.6895301 , z=11.022904
x=0.7781156 , y=0.7613561 , z=11.702858
x=0.8690952 , y=0.842759 , z=12.038046
x=1.0007763 , y=0.94331545 , z=12.179304
x=1.2282255 , y=1.0941502 , z=12.01171
x=1.3958195 , y=1.2785037 , z=11.719617
x=1.5610195 , y=1.5490485 , z=11.190498
x=1.6927006 , y=1.7764976 , z=10.699687
x=1.7717092 , y=1.9800048 , z=10.213664
x=1.8962077 , y=2.1883004 , z=9.600749
x=1.982399 , y=2.3080103 , z=9.150639
x=2.0709844 , y=2.4253263 , z=8.655039
x=2.054225 , y=2.4899697 , z=8.329428
x=1.9512744 , y=2.492364 , z=8.003817
x=1.8004397 , y=2.4851813 , z=7.735666
