x=0.32561144 , y=5.171476 , z=9.124303
x=-0.02873042 , y=5.1355624 , z=8.286332
x=-0.02873042 , y=5.1571107 , z=7.800309
x=0.4429273 , y=5.0996494 , z=8.166622
x=1.0414777 , y=5.020641 , z=9.651027
x=1.4700398 , y=4.9105077 , z=11.209652
x=1.2330139 , y=4.5322237 , z=10.800244
x=0.581791 , y=4.173094 , z=9.390059
x=-0.079008654 , y=3.8355112 , z=8.980651
x=0.095768064 , y=3.739743 , z=10.335769
x=0.30645782 , y=3.833117 , z=11.5616
x=-0.22984336 , y=3.9264908 , z=11.3964
x=-1.0055647 , y=3.9073372 , z=9.856929
x=-1.5346833 , y=3.8546648 , z=8.695741
x=-1.4413095 , y=3.8618474 , z=8.520964
x=-1.2401965 , y=3.9025488 , z=9.272743
x=-0.91219085 , y=4.06296 , z=9.892841
x=-0.47405192 , y=4.1371803 , z=10.024523
x=-0.22266077 , y=4.175488 , z=9.392453
x=-0.33279404 , y=4.1491513 , z=8.532935
x=-0.23702596 , y=4.1659107 , z=7.7667904
x=0.39983168 , y=4.1635165 , z=8.027759
x=0.56982 , y=4.261679 , z=9.057265
x=0.16280572 , y=4.414908 , z=8.942344
x=-0.08140286 , y=4.3047748 , z=8.231265
x=0.038307227 , y=4.2521024 , z=7.9942393
x=-0.04070143 , y=4.309563 , z=7.9702973
x=0.11492168 , y=4.3263226 , z=9.339781
x=0.44532153 , y=4.185065 , z=10.9822035
x=0.5386954 , y=4.144363 , z=11.125855
x=0.5482722 , y=3.9695864 , z=11.439496
x=0.60333884 , y=3.763685 , z=11.638214
x=0.4261679 , y=3.5745432 , z=11.030087
x=0.37349546 , y=3.5098996 , z=11.269507
x=0.2777274 , y=3.560178 , z=12.095507
x=0.1364695 , y=3.7924154 , z=11.166556
x=-0.23463176 , y=4.0054994 , z=9.464279
x=-0.5554548 , y=3.9671922 , z=8.3150625
x=-0.50517654 , y=3.7301662 , z=7.405266
x=-0.06943185 , y=3.6511576 , z=7.965509
x=0.48841715 , y=3.7134068 , z=8.24563
x=0.46686932 , y=3.8163576 , z=8.688558
x=0.48602295 , y=3.98874 , z=8.5473
x=0.25857377 , y=4.1706996 , z=7.6470804
x=-0.1436521 , y=4.2185836 , z=6.4619503
x=-0.16759412 , y=4.280833 , z=6.184223
x=0.07182605 , y=4.223372 , z=6.8402343
x=0.33279404 , y=4.2999864 , z=7.5944076
x=0.5506664 , y=4.343082 , z=7.6494746
x=0.9816227 , y=4.2281604 , z=6.849811
x=1.412579 , y=4.120421 , z=6.2632318
x=1.3383588 , y=3.9959226 , z=6.7253127
x=1.388637 , y=3.8402996 , z=8.738836
x=1.2641385 , y=3.9217024 , z=9.346964
x=0.8499416 , y=4.098873 , z=9.464279
