x=-0.37588966 , y=1.8291701 , z=10.2974615
x=-0.5793968 , y=1.9512744 , z=9.876082
x=-0.7062895 , y=1.8890251 , z=9.916783
x=-0.80445176 , y=1.8100165 , z=10.58716
x=-0.9624691 , y=1.8124107 , z=11.056423
x=-1.2545617 , y=1.8339585 , z=10.788273
x=-1.1731589 , y=1.9488802 , z=10.407595
x=-1.1061212 , y=1.9536686 , z=9.945514
x=-1.0654198 , y=1.9800048 , z=9.528923
x=-0.91458505 , y=2.078167 , z=9.49301
x=-0.842759 , y=2.2170308 , z=8.889671
x=-1.0079589 , y=2.3558946 , z=8.446744
x=-0.90979666 , y=2.3127987 , z=8.267179
x=-0.7398083 , y=2.2529438 , z=8.0445175
x=-0.6751649 , y=2.3511062 , z=7.5968018
x=-0.7254431 , y=2.3774424 , z=7.1131735
x=-0.7565677 , y=2.2457612 , z=7.00304
x=-0.62728083 , y=2.123657 , z=7.103596
x=-0.6584055 , y=2.1380222 , z=7.1371155
x=-0.6943185 , y=2.1404164 , z=7.1634517
x=-0.6895301 , y=2.1140802 , z=7.469909
x=-0.50757074 , y=2.030283 , z=8.0684595
x=-0.5482722 , y=2.078167 , z=8.449138
x=-0.6679823 , y=2.1930888 , z=8.868123
x=-0.6607997 , y=2.099715 , z=9.165004
x=-0.50517654 , y=2.0685902 , z=9.157822
x=-0.35673606 , y=2.183512 , z=8.875306
x=-0.40222588 , y=2.1164744 , z=8.537724
x=-0.38067806 , y=1.8052281 , z=7.9726915
x=-0.3878607 , y=1.6352397 , z=7.747637
x=-0.4189853 , y=1.5490485 , z=7.8745294
x=-0.5267244 , y=1.4413095 , z=8.015787
x=-0.5554548 , y=1.4413095 , z=8.441956
x=-0.6440403 , y=1.3838485 , z=9.030929
x=-0.7038953 , y=1.3910311 , z=9.569624
x=-0.7278373 , y=1.4580688 , z=10.058042
x=-0.6871359 , y=1.484405 , z=10.134656
x=-0.557849 , y=1.5562311 , z=9.916783
x=-0.45250413 , y=1.5562311 , z=9.564836
x=-0.35194764 , y=1.496376 , z=9.459491
x=-0.2633622 , y=1.5107412 , z=9.416395
x=-0.20590134 , y=1.6065093 , z=9.514558
x=-0.2657564 , y=1.6376339 , z=9.82341
x=-0.29209262 , y=1.6496049 , z=9.9550905
x=-0.35913026 , y=1.5705963 , z=10.055647
x=-0.521936 , y=1.5346833 , z=10.290278
x=-0.78050977 , y=1.5993267 , z=10.328587
x=-0.8331822 , y=1.7070658 , z=10.141838
x=-0.8762778 , y=1.7980455 , z=9.775525
x=-0.92655605 , y=1.8818425 , z=9.339781
x=-0.78050977 , y=1.9991584 , z=8.7771435
x=-0.46447513 , y=2.2337902 , z=8.104373
x=-0.40462008 , y=2.327164 , z=8.02297
x=-0.20590134 , y=2.3535004 , z=8.137892
x=-0.12449849 , y=2.468422 , z=8.00621
x=-0.260968 , y=2.456451 , z=8.252813
x=-0.25857377 , y=2.5019407 , z=8.1402855
x=-0.21787235 , y=2.5953147 , z=7.965509
x=-0.31124622 , y=2.5354595 , z=7.7787614
x=-0.30406362 , y=2.5330653 , z=7.824251
x=-0.39264908 , y=2.540248 , z=7.869741
x=-0.49799395 , y=2.5953147 , z=7.608773
x=-0.33997664 , y=2.5737667 , z=7.4723034
x=-0.088585466 , y=2.597709 , z=7.055712
x=0.076614454 , y=2.492364 , z=6.813898
